unique_id,gender,hold racket handed
3154,0.4358,0.947
3155,0.4925,0.947
3156,0.6826,0.947
3157,0.9503,0.947
3158,0.8516,0.947
3159,0.3955,0.899
3160,0.2503,0.395
3161,0.8866,0.947
3162,0.7595,0.947
3163,0.825,0.947
3164,0.3754,0.945
3165,0.654,0.947
3166,0.2878,0.947
3167,0.2255,0.947
3168,0.7341,0.947
3169,0.8954,0.947
3170,0.341,0.329
3171,0.9826,0.35
3172,0.5788,0.947
3173,0.8237,0.947
3174,0.5307,0.947
3175,0.9463,0.373
3176,0.7168,0.947
3177,0.8964,0.947
3178,0.8572,0.947
3179,0.0943,0.947
3180,0.4846,0.947
3181,0.75,0.947
3182,0.9255,0.947
3183,0.4296,0.947
3184,0.3773,0.946
3185,0.9639,0.893
3186,0.9163,0.947
3187,0.4564,0.945
3188,0.9687,0.947
3189,0.8535,0.947
3190,0.8762,0.946
3191,0.9065,0.947
3192,0.8205,0.947
3193,0.9343,0.947
3194,0.1697,0.895
3195,0.6702,0.947
3196,0.0417,0.769
3197,0.1726,0.947
3198,0.9104,0.947
3199,0.6974,0.947
3200,0.7452,0.947
3201,0.9146,0.945
3202,0.4195,0.947
3203,0.6298,0.946
3204,0.6779,0.946
3205,0.2184,0.947
3206,0.3693,0.947
3207,0.2749,0.94
3208,0.0886,0.92
3209,0.8897,0.947
3210,0.7928,0.946
3211,0.0,0.947
3212,0.0521,0.904
3213,0.7559,0.947
3214,0.2127,0.947
3215,0.5846,0.945
3216,0.7979,0.947
3217,0.828,0.929
3218,0.9054,0.947
3219,0.6601,0.947
3220,0.4803,0.947
3221,0.81,0.947
3222,0.919,0.337
3223,0.9042,0.947
3224,0.7682,0.947
3225,0.8693,0.947
3226,0.7923,0.946
3227,0.6749,0.947
3228,0.9427,0.947
3229,0.4894,0.943
3230,0.5544,0.367
3231,0.5623,0.947
3232,0.3717,0.947
3233,0.8649,0.947
3234,0.284,0.906
3235,0.0119,0.823
3236,0.8853,0.947
3237,0.9903,0.36
3238,0.9933,0.345
3239,0.9157,0.947
3240,0.0554,0.947
3241,0.1075,0.947
3242,0.8433,0.897
3243,0.7711,0.947
3244,0.9017,0.947
3245,0.5485,0.947
3246,0.8915,0.947
3247,0.4851,0.929
3248,0.5158,0.355
3249,0.746,0.947
3250,0.8701,0.947
3251,0.9087,0.947
3252,0.0765,0.947
3253,0.4717,0.947
3254,0.6203,0.947
3255,0.238,0.896
3256,0.8279,0.329
3257,0.8141,0.947
3258,0.8516,0.373
3259,0.3113,0.947
3260,0.3342,0.947
3261,0.5993,0.946
3262,0.1491,0.92
3263,0.7671,0.947
3264,0.5794,0.331
3265,0.4337,0.428
3266,0.1118,0.929
3267,0.5325,0.947
3268,0.8044,0.946
3269,0.7006,0.947
3270,0.8764,0.947
3271,0.3468,0.947
3272,0.9452,0.376
3273,0.0923,0.791
3274,0.6212,0.947
3275,0.7085,0.947
3276,0.8107,0.947
3278,0.336,0.947
3279,0.1037,0.339
3280,0.8382,0.947
3281,0.707,0.947
3282,0.0269,0.472
3283,0.7435,0.947
3284,0.1059,0.945
3285,0.6635,0.946
3286,0.8577,0.946
3287,0.5736,0.947
3288,0.0123,0.365
3289,0.9639,0.946
3290,0.1452,0.947
3291,0.6519,0.337
3292,0.861,0.929
3293,0.5807,0.945
3294,0.8019,0.947
3295,0.7921,0.947
3296,0.8801,0.947
3297,0.4443,0.947
3298,0.9781,0.329
3299,0.6472,0.947
3300,0.7779,0.947
3301,0.1166,0.947
3302,0.3301,0.946
3303,0.96,0.947
3304,0.1237,0.947
3305,0.9167,0.946
3306,0.4161,0.947
3307,0.795,0.947
3308,0.954,0.947
3309,0.7473,0.947
3310,0.8392,0.334
3311,0.825,0.947
3312,0.0431,0.928
3313,0.6828,0.947
3314,0.8674,0.947
3315,0.1733,0.929
3316,0.8393,0.93
3317,0.0745,0.947
3318,0.8266,0.947
3319,0.8977,0.945
3320,0.963,0.947
3321,0.8348,0.947
3322,0.4269,0.947
3323,0.7159,0.947
3324,0.8623,0.329
3325,0.1887,0.947
3326,0.3245,0.946
3327,0.6393,0.947
3328,0.4907,0.334
3329,0.023,0.426
3330,0.9323,0.946
3331,0.6962,0.947
3332,0.4238,0.947
3333,0.5288,0.947
3334,0.22,0.947
3335,0.47,0.947
3336,0.7852,0.947
3337,0.1979,0.363
3338,0.1128,0.947
3339,0.3379,0.947
3340,0.9779,0.337
3341,0.8051,0.947
3342,0.5796,0.947
3343,0.203,0.947
3344,0.9049,0.947
3345,0.2331,0.947
3346,0.3395,0.353
3347,0.9326,0.947
3348,0.9857,0.333
3349,0.3936,0.943
3350,0.0652,0.92
3351,0.8864,0.947
3352,0.3738,0.947
3353,0.5552,0.947
3354,0.7761,0.947
3355,0.861,0.947
3356,0.8742,0.947
3357,0.7978,0.947
3358,0.9155,0.947
3359,0.1783,0.895
3360,0.9667,0.947
3361,0.5118,0.947
3362,0.9772,0.946
3363,0.948,0.929
3364,0.4834,0.947
3365,0.4908,0.946
3366,0.7274,0.361
3367,0.7822,0.947
3368,0.8965,0.947
3369,0.4603,0.947
3370,0.9125,0.947
3371,0.9807,0.947
3372,0.6643,0.944
3373,0.8687,0.947
3374,0.7396,0.946
3375,0.9475,0.947
3376,0.9529,0.947
3377,0.7963,0.947
3378,0.3778,0.929
3379,0.6848,0.947
3380,0.5129,0.947
3381,0.4729,0.946
3382,0.549,0.947
3383,0.3353,0.945
3384,0.3979,0.947
3385,0.8558,0.947
3386,0.5434,0.378
3387,0.2462,0.946
3388,0.5039,0.945
3389,0.3438,0.947
3390,0.1628,0.929
3391,0.6489,0.947
3392,0.8051,0.947
3393,0.1805,0.929
3394,0.9627,0.947
3395,0.8243,0.329
3396,0.9497,0.339
3397,0.8128,0.947
3398,0.537,0.947
3399,0.8959,0.947
3400,0.878,0.384
3401,0.4549,0.337
3402,0.1798,0.947
3403,0.6102,0.947
3404,0.8968,0.947
3405,0.9378,0.947
3406,0.0206,0.352
3407,0.8551,0.947
3408,0.8018,0.947
3409,0.1036,0.943
3410,0.469,0.947
3411,0.7854,0.947
